,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Cambria County Transit Authority (CAMTRAN),"152,598","152,598","152,598","152,598","152,598","80,508","80,508","64,800","137,732","143,447","143,447","143,679","143,679","143,679","143,679","133,472","133,472","133,472"
Capitol Bus Company,"18,138","18,138","18,138",,,,,,,,,,,,,,,
Carbon County Community Transit (CCCT),"58,802","58,802","58,802","58,802","58,802","25,419","25,419","25,419","25,419","58,356","58,356","58,356","58,356","58,356","58,356",,,
"DuBois, Falls Creek, Sandy Township Joint Transp. Authority (DuFAST)","18,378","18,378","18,378","18,378","18,378","20,327","20,327","20,327","20,327","20,327","20,327",,,,,,,
Endless Mountains Regional Transportation Authority (BeST Transit),"110,690","110,690","110,690","110,690","110,690","61,852","61,852","61,852","61,852","61,852","61,852","61,852","61,852","61,852","61,852","73,215","73,215","73,215"
Erie Metropolitan Transit Authority (EMTA),"189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","189,872","181,382","181,382","181,382"
Fayette Area Coordinated Transportation (FACT),"148,644","148,644","148,644","148,644","148,644","136,606","136,606","136,606","136,606","136,606","136,606","136,606","136,606","136,606","136,606","128,804","128,804","128,804"
Hazleton Public Transit (HPT),"52,000","52,000","52,000","52,000","52,000","58,043","58,043","58,043","58,043","58,043","58,043","58,043","58,043","58,043","58,043","66,574","66,574","66,574"
Indiana County Transit Authority (INDIGO),"89,994","89,994","89,994","89,994","89,994","65,500","65,500","65,500","65,500","65,500","65,500","65,500","65,500","65,500","65,500","56,692","56,692","56,692"
Lehigh and Northampton Transportation Authority (LANTA),"579,156","579,156","579,156","579,156","579,156","389,000","389,000","389,000","389,000","488,571","488,571","488,571","488,571","488,571","533,100","624,391","624,391","624,391"
Luzerne County Transportation Authority (LCTA),"202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","202,500","230,577","230,577","230,577"
Monroe County Transportation Authority (MCTA),"119,911","138,687","138,687","138,687","138,687","141,292","141,292","141,292","141,292","141,292","141,292","141,292","141,292","141,292","141,292","167,198","167,198","167,198"
Mid Mon Valley Transit Authority (MMVTA),"56,508","56,508","56,508","56,508","56,508","56,508","66,086","66,086","66,086","66,086","66,086","66,086","66,086","66,086","66,086","55,719","55,719","92,428"
Mid County Transit Authority/Town and Country Transit (TACT),"11,837","11,837","11,837","11,837","11,837","17,610","17,610","17,610","17,610","17,610","17,610","17,610","17,610","17,610","17,610","17,946","17,946","17,946"
Monroe Township,"8,755",,,,,,,,,,,,,,,,,
Borough of Mount Carmel (LATS),"33,000","33,000","33,000","33,000","33,000","29,713","29,713","29,713","29,713","29,713","29,713","29,713","29,713","29,713","29,713","30,850","30,850","30,850"
New Castle Area Transit Authority (NCATA),"96,246","96,246","96,246","96,246","96,246","74,880","74,880","74,880","74,880","74,880","74,880","74,880","74,880","74,880","74,880","70,740","70,740","70,740"
Pittsburgh Regional Transit (PRT),"1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244","1,415,244",,"1,238,090","1,238,090"
Pottstown Area Rapid Transit (PART),"51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","51,000","64,347","64,347","64,347"
Red Rose Transit Authority (RRTA),"420,920","420,920","420,920","420,920","420,920","420,920","420,920","420,920","420,920",,,,,,,,,
Southeastern Pennsylvania Transportation Authority (SEPTA),"3,317,418",,,,,,,,,,,,,,,,,
Schuylkill Transportation System (STS),"150,336","150,336","150,336","150,336","150,336","97,441","97,441","97,441","97,441","97,441","97,441","97,441","97,441","97,441","97,441","143,049","143,049","143,049"
Shenango Valley Shuttle Service (SVSS),"120,293","120,293","120,293","120,293","120,293",,,,,,,,,,,,,
Venango County Transportation Office (VCTO),"36,354","36,354","36,354","36,354","36,354","33,759","33,759","33,759","33,759","33,759",,,,,,,,
Westmoreland County Transit Authority (WCTA),"297,851","297,851","297,851","297,851","297,851","296,066","296,066","296,066","296,066","296,066","296,066","296,066","296,066","296,066","296,066","270,074","270,074","270,074"
Transit Authority of Warren County (TAWC),"579,156","43,863","43,863","43,863","43,683","25,626","25,626","25,626","25,626","25,626","25,626","25,626","25,626","25,626","25,626","38,134","38,134","38,134"
"Washington, City of","61,634","61,634","61,634","61,634","61,634","61,634","61,634","61,634","61,634",,,,,,,,,
Williamsport River Valley Transit (RVT),"69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764","69,764",,,
Susquehanna Regional Transportation Authority (SRTA/rabbittransit),"381,751","381,751","381,751","381,751","381,751","381,751","381,751","537,169","537,169","537,169","537,169","537,169","537,169","537,169","537,169","1,106,160","1,106,160","1,106,160"
Mercer County Regional Council of Governments (MCRCOG-SVSS/MCCT),,,,,,"116,638","41,279","41,279","41,279","116,638","116,638","116,638","116,638","116,638","116,638","110,652","110,652","110,652"
Washington County Transportation Authority (Freedom Transit),,,,,,,,,"61,634","61,634","61,634","207,820","207,820","207,820","207,820","209,349","209,349","209,349"
South Central Transit Authority (SCTA),,,,,,,,,,"930,887","930,887","930,887","930,887","930,887","930,887","981,833","981,833","981,833"
River Valley Transit Authority (RVTA),,,,,,,,,,,,,,,,"74,628","74,628","74,628"
