,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"DuFAST (DuBois, Falls Creek, Sandy Township Joint Transp. Authority)",,,,,,,,,,_,,,,,,,,
EMTA (Endless Mountains Transportation Authority),,,,,,,,,,_,,,,,,,,
IndiGO (Indiana County Transit Authority),,,,,,,,,,_,,,,,,,,
Mid County Transit Authority,,,,,,,,,,_,,,,,,,,
MCTA (Monroe County Transportation Authority),,,,,,,,,,_,,,,,,,,
"BMC (Mount Carmel, Borough of)",,,,,,,,,,_,,,,,,,,
STS (Schuylkill Transportation System),,,,,,,,,,_,,,,,,,,
VCTO (Venango County Transportation Office),,,,,,,,,,_,,,,,,,,
"TAWC (Warren County, Transit Authority of)",,,,,,,,,,_,,,,,,,,
BCTA (Beaver County Transit Authority),,,,,,,,,,,_,,,,,,,
Port Authority of Allegheny County (PAAC),,,,,,,,,,,,_,_,_,_,,,
Altoona Metro Transit (AMTRAN),,,,,,,,,,,,_,_,_,_,,,
Area Transportation Authority of North Central PA (ATA),,,,,,,,,,,,_,_,_,_,,,
Beaver County Transit Authority (BCTA),,,,,,,,,,,,_,_,_,_,,,
Borough of Mount Carmel (LATS),,,,,,,,,,,,_,_,_,_,,,
Butler Transit Authority (BTA),,,,,,,,,,,,_,_,_,_,,,
Cambria County Transit Authority (CamTran),,,,,,,,,,,,_,_,_,_,,,
Capital Area Transit (CAT),,,,,,,,,,,,_,_,_,_,,,
Carbon County Community Transit (CCCT),,,,,,,,,,,,_,_,_,_,,,
Central Pennsylvania Transportation Authority (CPTA),,,,,,,,,,,,_,_,_,_,,,
Centre Area Transportation Authority (CATA),,,,,,,,,,,,_,_,_,_,,,
County of Lackawanna Transit System (COLTS),,,,,,,,,,,,_,_,_,_,,,
County of Lebanon Transit Authority (COLT/LT),,,,,,,,,,,,_,_,_,_,,,
Crawford Area Transportation Authority (CATA),,,,,,,,,,,,_,_,_,_,,,
Endless Mountains Transportation Authority (EMTA),,,,,,,,,,,,_,_,_,_,,,
Erie Metropolitan Transit Authority (EMTA),,,,,,,,,,,,_,_,_,_,,,
Fayette Area Coordinated Transportation (FACT),,,,,,,,,,,,_,_,_,_,,,
Hazleton Public Transit (HPT),,,,,,,,,,,,_,_,_,_,,,
Indiana County Transit Authority (IndiGO),,,,,,,,,,,,_,_,_,_,,,
Lehigh and Northampton Transportation Authority (LANTA),,,,,,,,,,,,_,_,_,_,,,
Luzerne County Transportation Authority (LCTA),,,,,,,,,,,,_,_,_,_,,,
Mercer County Regional Council of Governments (MCRCOG),,,,,,,,,,,,_,_,_,_,,,
Mid County Transit Authority (TACT),,,,,,,,,,,,_,_,_,_,,,
Mid Mon Valley Transit Authority (MMVTA),,,,,,,,,,,,_,_,_,_,,,
Monroe County Transportation Authority (MCTA),,,,,,,,,,,,_,_,_,_,,,
New Castle Area Transit Authority (NCATA),,,,,,,,,,,,_,_,_,_,,,
Pottstown Area Rapid Transit (PART),,,,,,,,,,,,_,_,_,_,,,
Schuylkill Transportation System (STS),,,,,,,,,,,,_,_,_,_,,,
South Central Transit Authority (SCTA),,,,,,,,,,,,_,_,_,_,,,
Transit Authority of Warren County (TAWC),,,,,,,,,,,,_,_,_,_,,,
Washington County Transportation Authority (WCTA),,,,,,,,,,,,_,_,_,_,,,
Westmoreland County Transit Authority (WCTA),,,,,,,,,,,,_,_,_,_,,,
Williamsport River Valley Transit (RVT),,,,,,,,,,,,_,_,_,_,,,
ALTOONA METRO TRANSIT (AMTRAN),,,,,,,,,,,,,,,,_,,
AREA TRANSPORTATION AUTHORITY OF NORTH CENTRAL PA (ATA),,,,,,,,,,,,,,,,_,_,
BEAVER COUNTY TRANSIT AUTHORITY (BCTA),,,,,,,,,,,,,,,,_,_,
BOROUGH OF MOUNT CARMEL (LATS),,,,,,,,,,,,,,,,_,,
BUTLER TRANSIT AUTHORITY (BTA),,,,,,,,,,,,,,,,_,_,
CAMBRIA COUNTY TRANSIT AUTHORITY (CAMTRAN),,,,,,,,,,,,,,,,_,_,
CENTRE AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,,,,,,,_,_,
COUNTY OF LACKAWANNA TRANSIT SYSTEM (COLTS),,,,,,,,,,,,,,,,_,_,
COUNTY OF LEBANON TRANSIT AUTHORITY (COLT/LT),,,,,,,,,,,,,,,,_,_,
CRAWFORD AREA TRANSPORTATION AUTHORITY (CATA),,,,,,,,,,,,,,,,_,_,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY ( BeST TRANSIT),,,,,,,,,,,,,,,,_,,
ERIE METROPOLITAN TRANSIT AUTHORITY (EMTA),,,,,,,,,,,,,,,,_,_,
FAYETTE AREA COORDINATED TRANSPORTATION (FACT),,,,,,,,,,,,,,,,_,_,
HAZLETON PUBLIC TRANSIT (HPT),,,,,,,,,,,,,,,,_,_,
INDIANA COUNTY TRANSIT AUTHORITY (INDIGO),,,,,,,,,,,,,,,,_,_,
LEHIGH AND NORTHAMPTON TRANSPORTATION AUTHORITY (LANTA),,,,,,,,,,,,,,,,_,_,
LUZERNE COUNTY TRANSPORTATION AUTHORITY (LCTA),,,,,,,,,,,,,,,,_,_,
MERCER COUNTY REGIONAL COUNCIL OF GOVERNMENTS (MCRCOG-SVSS/MCCT),,,,,,,,,,,,,,,,_,_,
MID COUNTY TRANSIT AUTHORITY (TACT),,,,,,,,,,,,,,,,_,_,
MID MON VALLEY TRANSIT AUTHORITY (MMVTA),,,,,,,,,,,,,,,,_,_,
MONROE COUNTY TRANSPORTATION AUTHORITY (MCTA),,,,,,,,,,,,,,,,_,,
NEW CASTLE AREA TRANSIT AUTHORITY (NCATA),,,,,,,,,,,,,,,,_,,
POTTSTOWN AREA RAPID TRANSIT (PART),,,,,,,,,,,,,,,,_,,
RIVER VALLEY TRANSIT AUTHORITY (RVTA),,,,,,,,,,,,,,,,_,_,
SCHUYLKILL TRANSPORTATION SYSTEM (STS),,,,,,,,,,,,,,,,_,,
SOUTH CENTRAL TRANSIT AUTHORITY (SCTA),,,,,,,,,,,,,,,,_,_,
SUSQUEHANNA REGIONAL TRANSPORTATION AUTHORITY (SRTA) D.B.A. rabbittransit,,,,,,,,,,,,,,,,_,_,
TRANSIT AUTHORITY OF WARREN COUNTY (TAWC),,,,,,,,,,,,,,,,_,,
WASHINGTON COUNTY TRANSPORTATION AUTHORITY (WCTA),,,,,,,,,,,,,,,,_,,
WESTMORELAND COUNTY TRANSIT AUTHORITY (WCTA),,,,,,,,,,,,,,,,_,_,
PITTSBURGH REGIONAL TRANSIT,,,,,,,,,,,,,,,,,_,
ENDLESS MOUNTAINS REGIONAL TRANSPORTATION AUTHORITY (BeST TRANSIT),,,,,,,,,,,,,,,,,_,
